age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio
38,1,13.1,89851,775,14.6,2175,43170,0,0,0,0,5,70000,15.39,0.48,0.779,0.26
25,0,3.9,33536,701,0.6,16,6837,0,1,0,0,5,22100,15.65,0.204,0.659,0.22
18,0,0.0,46882,706,0.9,14,6067,0,0,0,0,5,29900,16.84,0.129,0.638,0.213
49,0,9.7,39025,729,26.4,2124,9548,0,1,0,0,4,40300,15.64,0.245,1.033,0.344
36,0,11.7,67505,646,16.6,434,39903,0,0,0,0,4,37700,20.84,0.591,0.558,0.186
22,0,1.9,34931,408,0.5,64,7374,0,0,1,2,5,22300,16.96,0.211,0.638,0.213
34,0,11.5,93280,628,9.2,455,65193,0,2,1,2,2,55300,13.1,0.699,0.593,0.198
37,0,14.8,40744,722,15.0,534,6345,0,0,0,0,5,40300,16.24,0.156,0.989,0.33
41,0,12.4,58295,765,6.4,14122,18836,0,1,0,0,0,66400,14.01,0.323,1.139,0.38
33,0,9.7,23935,612,10.9,1864,4071,0,0,0,1,3,13200,12.75,0.17,0.551,0.184
32,0,13.5,33297,583,6.1,225,3358,1,3,0,2,2,39500,16.55,0.101,1.186,0.395
21,0,2.7,15000,615,1.7,7,4017,0,2,0,1,5,7700,12.28,0.268,0.513,0.171
18,1,1.0,81261,616,0.4,155,11109,0,0,0,0,2,58200,19.37,0.137,0.716,0.239
28,1,4.1,91055,647,9.5,140,57083,0,0,0,0,0,48000,20.57,0.627,0.527,0.176
26,1,2.0,62328,620,5.7,2295,16778,0,0,0,0,5,6500,20.67,0.269,0.104,0.035
31,1,6.0,17789,523,7.9,40,1560,0,4,1,0,5,21300,21.36,0.088,1.197,0.399
36,0,10.8,95384,662,10.8,1757,6623,0,1,0,0,0,70000,18.54,0.069,0.734,0.245
43,0,12.6,71664,655,13.1,4492,22866,0,0,0,2,4,43000,11.68,0.319,0.6,0.2
31,0,3.2,30227,582,7.1,974,6675,0,0,0,1,2,25400,13.72,0.221,0.84,0.28
44,0,16.0,77679,626,25.6,5385,15194,0,0,0,2,1,42800,14.15,0.196,0.551,0.184
39,1,10.1,89315,643,10.7,5566,22865,0,0,0,2,3,100000,14.7,0.256,1.12,0.373
40,0,8.2,95437,622,14.5,3307,19538,0,0,0,0,5,41200,19.97,0.205,0.432,0.144
46,0,16.5,52569,682,10.7,19628,7140,0,0,0,0,4,7100,17.63,0.136,0.135,0.045
37,0,10.6,52564,560,0.9,1592,13844,0,1,2,0,2,17100,21.71,0.263,0.325,0.108
29,0,7.1,83858,631,9.4,993,17295,1,0,0,2,5,100000,13.21,0.206,1.192,0.397
34,1,7.2,126748,683,15.2,7964,76057,0,0,0,1,3,47800,10.84,0.6,0.377,0.126
47,0,9.6,71776,707,28.6,1940,37926,0,0,0,1,2,44700,8.67,0.528,0.623,0.208
37,0,13.9,44803,673,0.5,29,20725,0,0,0,0,5,39700,18.6,0.463,0.886,0.295
60,1,12.9,35518,586,2.0,1011,4711,0,0,0,0,1,39400,21.19,0.133,1.109,0.37
46,0,25.0,27318,640,24.6,1323,15355,0,0,0,2,5,41900,13.52,0.562,1.534,0.511
46,2,1.7,15000,632,11.4,571,5561,0,1,0,2,2,25200,14.79,0.371,1.68,0.56
23,1,1.0,35749,690,2.7,10959,3434,0,0,0,0,1,8300,17.2,0.096,0.232,0.077
18,0,0.0,27110,806,0.1,6,5106,0,0,0,0,5,25000,15.9,0.188,0.922,0.307
24,0,1.3,27789,663,4.2,114,6768,0,1,0,2,3,40300,12.49,0.244,1.45,0.483
18,0,0.0,15000,582,1.1,17,10238,1,0,0,0,4,17300,21.61,0.683,1.153,0.384
32,1,6.0,212451,810,0.2,238,60272,0,0,0,2,4,88500,8.82,0.284,0.417,0.139
45,2,0.5,18997,672,4.1,824,4162,0,0,0,0,1,1100,18.41,0.219,0.058,0.019
32,0,8.7,28309,746,4.7,1077,4808,0,1,0,2,5,24600,9.98,0.17,0.869,0.29
21,0,0.2,18596,538,1.5,139,3135,0,1,0,1,1,5100,14.64,0.169,0.274,0.091
35,0,12.9,18512,566,15.2,2709,6680,0,1,0,2,2,7500,15.5,0.361,0.405,0.135
47,1,12.7,80143,648,6.9,2548,12806,0,1,0,0,5,51400,19.06,0.16,0.641,0.214
31,0,5.1,31729,654,11.1,177,16732,0,0,0,0,0,14600,18.67,0.527,0.46,0.153
18,0,0.0,20257,596,1.8,2967,6960,0,1,0,2,2,34200,16.34,0.344,1.688,0.563
30,0,4.4,26542,557,6.8,1449,12535,0,0,0,0,1,4400,21.09,0.472,0.166,0.055
28,1,4.9,21812,651,6.6,166,4816,0,0,0,1,3,20000,10.49,0.221,0.917,0.306
31,0,5.0,44751,558,9.1,1956,16525,0,0,0,2,3,59000,16.33,0.369,1.318,0.439
18,0,0.0,21943,536,1.9,2351,8092,0,3,0,2,1,17000,15.38,0.369,0.775,0.258
38,2,1.3,17713,686,17.3,1035,6907,0,1,0,0,0,1800,17.44,0.39,0.102,0.034
43,0,4.6,75918,686,2.0,1856,32426,0,0,0,0,5,70000,17.04,0.427,0.922,0.307
23,0,4.4,73384,608,3.0,168,26526,0,1,0,0,5,44700,20.41,0.361,0.609,0.203
25,0,6.9,58507,751,0.2,113,25399,0,0,0,0,4,19100,15.01,0.434,0.326,0.109
44,2,0.4,16889,688,13.5,122,1376,0,0,0,1,2,5000,10.18,0.081,0.296,0.099
31,1,2.5,71716,585,5.3,1058,38609,0,0,0,0,3,65000,22.99,0.538,0.906,0.302
23,0,1.1,31203,685,4.7,3025,9371,0,0,0,0,1,7700,17.85,0.3,0.247,0.082
50,0,26.5,70643,674,4.0,76,27308,0,0,0,1,1,30000,9.23,0.387,0.425,0.142
34,0,4.2,49738,676,2.3,60,15668,0,0,0,2,2,75200,11.74,0.315,1.512,0.504
24,0,3.5,32863,493,5.8,59,20510,0,1,0,2,5,41700,16.89,0.624,1.269,0.423
39,0,18.4,23923,713,18.2,435,3792,0,0,0,0,5,18100,16.22,0.159,0.757,0.252
30,1,7.7,84313,727,6.8,1273,25139,0,0,0,1,4,21300,8.2,0.298,0.253,0.084
45,0,4.8,81730,603,15.1,12362,13363,0,2,0,2,2,57500,13.44,0.164,0.704,0.235
37,0,11.3,39744,600,17.0,207,19872,0,0,0,2,1,24200,13.97,0.5,0.609,0.203
25,0,3.2,50509,636,2.3,583,7933,0,0,0,0,2,55000,20.4,0.157,1.089,0.363
51,0,22.7,55552,741,15.6,203,22974,0,0,1,0,3,16700,17.26,0.414,0.301,0.1
39,0,20.5,29691,715,11.8,50,8210,0,0,0,2,2,58000,9.64,0.277,1.953,0.651
54,0,17.6,64021,766,19.4,3049,23169,0,1,0,1,4,27200,6.51,0.362,0.425,0.142
47,0,3.9,31706,596,23.3,2813,20712,1,2,0,2,0,57600,16.67,0.653,1.817,0.606
51,1,24.7,20939,614,11.3,85,4631,0,0,1,2,4,13000,13.1,0.221,0.621,0.207
35,1,11.9,109197,675,12.9,3770,12907,0,0,0,0,5,70000,17.59,0.118,0.641,0.214
18,1,1.0,144391,678,1.3,794,37178,0,1,0,0,4,20400,18.5,0.257,0.141,0.047
35,0,3.7,124910,575,9.8,265,52161,1,2,1,2,5,48800,15.79,0.418,0.391,0.13
40,0,15.3,78076,660,14.8,3054,8584,0,0,0,0,0,70000,17.47,0.11,0.897,0.299
61,0,6.9,43113,784,13.0,1442,6923,0,0,0,0,0,37800,15.31,0.161,0.877,0.292
26,1,3.6,39642,693,1.3,239,14037,0,0,0,1,5,17800,9.54,0.354,0.449,0.15
49,1,26.2,28774,683,23.5,7426,6183,0,0,0,2,2,32600,12.02,0.215,1.133,0.378
31,0,1.1,33137,587,1.9,460,2686,1,1,0,0,1,33100,22.63,0.081,0.999,0.333
49,2,1.9,23379,640,3.7,132,9571,0,1,0,2,3,25400,14.06,0.409,1.086,0.362
27,0,7.5,54685,768,5.2,154,21740,0,1,0,0,5,53300,15.73,0.398,0.975,0.325
48,1,17.4,18224,742,0.9,23,4772,0,0,0,1,2,14300,7.54,0.262,0.785,0.262
24,1,1.8,72790,650,2.1,1005,29935,0,0,0,0,3,15800,17.59,0.411,0.217,0.072
40,0,11.3,74714,705,2.6,1098,4446,0,0,0,0,5,70000,16.71,0.06,0.937,0.312
18,0,0.0,19286,593,1.5,54,3149,0,1,1,0,0,5700,21.23,0.163,0.296,0.099
35,0,7.9,46461,772,7.0,3579,17222,0,0,1,2,4,5400,9.57,0.371,0.116,0.039
18,0,0.0,23455,632,1.7,147,2198,0,2,0,1,5,5000,11.71,0.094,0.213,0.071
18,0,0.0,33527,657,0.8,4005,14647,0,0,0,2,2,33900,11.41,0.437,1.011,0.337
43,1,18.6,23811,575,23.7,1499,9660,0,0,0,1,3,7500,13.96,0.406,0.315,0.105
39,0,4.3,49294,674,10.8,2491,23273,0,0,0,2,0,38700,11.06,0.472,0.785,0.262
27,1,2.4,98743,487,7.6,433,50077,0,2,0,0,0,29100,22.34,0.507,0.295,0.098
37,1,9.0,37082,585,6.7,182,14642,0,2,0,0,4,600,22.45,0.395,0.016,0.005
40,2,1.6,33554,612,17.4,2091,15534,0,1,0,2,5,56400,13.51,0.463,1.681,0.56
24,1,1.0,88477,584,2.3,2110,27201,0,0,0,2,3,100000,16.8,0.307,1.13,0.377
20,0,1.6,15000,682,1.3,28,3971,0,0,0,2,1,9400,12.01,0.265,0.627,0.209
23,0,1.9,27777,593,0.6,9,1467,0,1,1,2,3,31500,16.73,0.053,1.134,0.378
44,1,14.3,145162,739,5.3,2471,29355,0,0,1,0,2,70000,16.84,0.202,0.482,0.161
35,0,12.0,26181,558,14.4,2027,6468,0,1,0,2,5,39100,16.45,0.247,1.493,0.498
61,0,26.8,87495,720,10.8,10190,45021,0,0,0,0,5,44000,16.68,0.515,0.503,0.168
29,0,3.5,15829,535,3.4,23,10885,1,0,0,0,2,15600,21.37,0.688,0.986,0.329
18,0,0.0,19124,596,0.4,0,9397,1,1,0,2,5,3700,16.21,0.491,0.193,0.064
47,1,18.1,57376,736,12.5,257,18596,0,0,0,2,3,39700,9.57,0.324,0.692,0.231
31,0,4.9,24755,640,5.8,94,6270,0,0,0,0,3,1800,20.32,0.253,0.073,0.024
46,1,10.2,50850,634,10.4,1571,13888,0,3,0,1,3,16800,12.9,0.273,0.33,0.11
58,1,27.0,42020,657,10.2,3818,25529,0,0,0,2,5,22000,11.91,0.608,0.524,0.175
23,0,4.7,21582,625,1.7,13,10506,0,1,0,2,5,24100,14.63,0.487,1.117,0.372
20,0,1.1,18117,585,0.9,249,5668,0,1,0,2,5,2200,16.43,0.313,0.121,0.04
36,0,4.4,30555,571,10.2,1286,2370,0,2,0,2,3,10200,16.11,0.078,0.334,0.111
31,0,11.5,62660,669,7.2,311,28424,0,0,0,2,0,100000,12.35,0.454,1.596,0.532
30,1,5.1,126551,673,9.3,6524,26630,0,0,0,0,5,70000,18.7,0.21,0.553,0.184
39,2,0.1,15000,633,6.1,65,4095,0,1,0,1,2,8300,11.49,0.273,0.553,0.184
28,1,1.3,88001,633,2.3,37,41413,0,0,0,0,0,58600,19.99,0.471,0.666,0.222
37,1,12.7,99494,736,13.7,50,41863,0,0,0,1,2,10100,9.05,0.421,0.102,0.034
45,0,9.8,85831,612,3.0,548,31062,0,0,0,2,4,100000,14.11,0.362,1.165,0.388
28,2,1.4,17962,614,6.8,1505,5662,0,0,0,2,0,23300,13.08,0.315,1.297,0.432
35,0,6.4,70559,612,10.4,433,19649,0,0,0,0,2,70000,19.71,0.278,0.992,0.331
51,0,8.0,63146,698,20.1,3437,30732,0,0,0,2,5,7200,12.92,0.487,0.114,0.038
28,0,4.4,72079,616,6.6,2647,7794,0,2,0,2,2,15600,14.28,0.108,0.216,0.072
27,0,6.5,32176,623,6.7,14,8407,0,0,0,2,5,60400,13.04,0.261,1.877,0.626
35,0,3.3,31190,620,1.1,534,7697,0,0,0,2,0,37100,13.76,0.247,1.189,0.396
29,0,1.2,43427,630,6.6,1867,1040,0,1,0,2,5,24800,13.03,0.024,0.571,0.19
18,0,0.0,29022,562,1.5,73,17086,0,1,1,2,4,57800,16.02,0.589,1.992,0.664
20,1,1.0,27624,658,0.1,3,2258,0,1,0,2,4,21400,12.07,0.082,0.775,0.258
26,0,6.9,36730,589,2.0,578,7140,0,2,1,2,3,12500,16.72,0.194,0.34,0.113
30,0,7.2,51733,633,5.3,1167,7855,0,1,0,1,3,17900,12.1,0.152,0.346,0.115
36,1,12.8,58853,609,10.8,207,5162,0,0,0,2,5,82100,13.15,0.088,1.395,0.465
32,0,8.9,24111,607,4.1,718,4997,0,3,0,2,5,27400,13.22,0.207,1.136,0.379
34,1,3.0,69007,719,8.7,1077,39109,0,0,0,0,0,29900,15.89,0.567,0.433,0.144
35,0,3.0,43701,612,16.8,634,32732,0,1,0,2,5,8200,13.15,0.749,0.188,0.063
41,2,0.3,17333,810,6.7,257,2991,0,0,0,2,5,27400,8.04,0.173,1.581,0.527
40,0,17.9,96893,667,19.4,34987,43604,0,0,1,0,5,9200,17.13,0.45,0.095,0.032
47,0,7.5,61705,792,1.8,758,18589,0,0,0,2,2,77700,8.2,0.301,1.259,0.42
44,1,6.6,134420,580,20.9,1461,34214,0,1,0,2,2,100000,16.16,0.255,0.744,0.248
35,1,3.5,102660,491,16.9,698,56168,0,0,1,0,2,70000,22.59,0.547,0.682,0.227
36,0,14.6,15000,637,4.7,123,8494,0,1,0,0,2,9200,20.99,0.566,0.613,0.204
18,0,0.0,16436,582,0.1,10,5891,1,3,0,2,2,8900,16.25,0.358,0.541,0.18
40,1,10.8,51884,612,1.5,89,18237,0,2,0,0,2,24100,19.47,0.351,0.464,0.155
45,0,2.6,87075,708,3.7,790,53876,0,1,0,1,5,50000,7.96,0.619,0.574,0.191
37,0,13.4,28340,598,4.6,1706,6480,1,5,1,1,5,20800,14.86,0.229,0.734,0.245
29,0,10.1,61046,633,8.5,1571,34808,0,0,0,1,4,35600,12.03,0.57,0.583,0.194
22,0,2.2,99924,678,1.0,2591,63478,0,1,0,0,2,70000,18.9,0.635,0.701,0.234
45,0,5.0,73480,611,16.1,3363,19825,0,0,0,2,1,100000,14.6,0.27,1.361,0.454
43,0,24.4,31776,691,1.1,27,10635,0,0,0,1,0,11900,9.98,0.335,0.374,0.125
31,0,9.1,15728,611,5.7,713,949,0,0,1,0,1,18400,19.75,0.06,1.17,0.39
38,0,16.5,17444,500,14.7,257,8452,1,1,0,0,1,20000,22.42,0.485,1.147,0.382
30,0,3.2,25038,700,7.2,421,9891,0,0,0,1,1,9200,8.5,0.395,0.367,0.122
36,1,8.5,90395,551,2.8,613,38982,0,4,0,1,0,46700,14.29,0.431,0.517,0.172
36,0,11.3,81312,614,16.4,201,12115,0,0,0,0,4,46800,20.37,0.149,0.576,0.192
46,1,3.0,44938,772,22.3,29220,3923,0,0,0,2,5,76500,8.68,0.087,1.702,0.567
21,0,0.3,15000,682,0.1,41,5769,0,0,0,2,1,7300,11.58,0.385,0.487,0.162
37,0,10.1,22115,645,8.6,243,3375,0,0,0,2,3,36500,14.7,0.153,1.65,0.55
25,0,7.0,17612,686,2.9,147,6473,0,0,0,0,3,24000,18.21,0.368,1.363,0.454
51,0,22.1,57851,682,2.0,3627,17622,0,1,0,1,4,38000,9.55,0.305,0.657,0.219
46,0,18.7,48506,680,27.5,1340,17916,0,0,0,1,4,15000,10.95,0.369,0.309,0.103
26,0,5.4,31280,595,1.2,160,7470,1,1,0,2,0,33000,16.55,0.239,1.055,0.352
25,0,0.6,26785,670,2.2,698,4840,0,0,0,0,5,29200,18.21,0.181,1.09,0.363
32,0,8.2,68822,790,0.8,193,23595,0,1,0,2,4,36100,8.33,0.343,0.525,0.175
50,0,24.5,49463,651,8.0,330,18836,0,0,0,0,2,46200,17.42,0.381,0.934,0.311
34,2,1.9,29031,615,12.6,2399,8487,0,0,0,0,5,2900,19.43,0.292,0.1,0.033
35,0,6.9,25119,653,11.5,4425,4641,0,0,0,1,2,10000,9.24,0.185,0.398,0.133
33,0,12.1,29065,640,2.1,27,8063,0,0,0,0,4,9100,20.11,0.277,0.313,0.104
37,0,8.1,22355,648,17.3,480,6770,0,2,0,1,2,11000,11.91,0.303,0.492,0.164
34,2,0.8,32560,571,1.9,159,4260,0,0,0,1,5,5800,14.17,0.131,0.178,0.059
62,1,3.2,69966,682,6.7,4219,5768,0,0,0,1,3,23600,10.84,0.082,0.337,0.112
35,1,4.0,80572,597,14.0,267,36892,0,1,0,1,0,34800,14.25,0.458,0.432,0.144
26,1,2.5,84463,618,5.9,2275,31118,0,1,0,2,1,100000,13.74,0.368,1.184,0.395
18,0,0.0,15688,594,1.0,29,8732,0,1,0,1,5,8700,14.33,0.557,0.555,0.185
37,0,8.3,35236,510,2.2,52,4974,0,1,0,2,3,27800,15.59,0.141,0.789,0.263
40,2,0.8,34518,645,17.8,57,26036,0,0,0,2,4,67800,13.41,0.754,1.964,0.655
37,2,0.6,36714,725,11.9,511,8300,0,0,0,0,2,3700,16.83,0.226,0.101,0.034
29,1,6.7,62753,572,10.1,949,30389,1,2,0,0,5,52600,21.67,0.484,0.838,0.279
18,0,0.0,29804,589,0.9,598,5126,0,0,1,1,2,9400,14.02,0.172,0.315,0.105
38,0,0.7,23919,568,10.5,4822,4903,0,1,1,0,5,26300,21.52,0.205,1.1,0.367
46,0,4.7,21555,598,1.8,385,13876,0,0,0,1,5,5700,14.64,0.644,0.264,0.088
33,1,9.5,35624,611,2.5,337,18334,0,1,0,2,5,65800,13.58,0.515,1.847,0.616
34,1,4.4,61843,483,3.3,19,36274,0,0,0,0,0,70000,22.37,0.587,1.132,0.377
24,0,5.0,29249,747,4.5,56,2656,0,0,0,2,4,33700,11.27,0.091,1.152,0.384
42,0,9.3,70646,708,12.5,5107,18417,0,2,0,2,5,39600,9.62,0.261,0.561,0.187
47,1,6.6,40023,593,9.7,162,9907,0,0,0,0,2,50200,22.26,0.248,1.254,0.418
33,0,12.6,15000,544,8.1,935,4752,0,0,1,2,5,5800,15.67,0.317,0.387,0.129
28,0,7.1,34108,616,5.6,882,4801,0,2,0,0,3,21100,20.99,0.141,0.619,0.206
52,0,19.0,31077,610,8.2,291,2749,0,0,0,0,5,32100,20.6,0.088,1.033,0.344
39,0,18.2,45138,701,15.5,4302,7907,0,0,0,2,2,88300,10.62,0.175,1.956,0.652
36,0,13.7,59110,596,2.9,658,33212,0,2,0,0,5,21800,21.13,0.562,0.369,0.123
44,1,1.4,16591,743,20.6,432,7830,0,0,0,1,2,7600,9.08,0.472,0.458,0.153
20,0,2.0,27791,551,1.2,15,6882,0,0,2,0,0,22600,22.27,0.248,0.813,0.271
49,0,13.8,44780,773,2.4,89,14213,0,0,0,0,4,41100,15.63,0.317,0.918,0.306
32,0,12.2,49212,553,6.9,336,25100,1,1,1,0,3,49500,21.22,0.51,1.006,0.335
51,0,29.4,56588,702,9.2,4830,16616,0,0,0,2,3,7700,11.33,0.294,0.136,0.045
37,0,9.4,37218,588,11.7,2389,13416,0,0,0,0,5,10600,21.35,0.36,0.285,0.095
18,2,0.3,15000,631,0.8,23,2889,0,0,0,0,5,1500,20.22,0.193,0.1,0.033
43,0,6.8,23642,595,15.8,18993,8502,0,0,0,0,2,23000,21.2,0.36,0.973,0.324
41,0,16.6,138694,614,6.4,2534,53070,0,0,0,0,5,70000,20.47,0.383,0.505,0.168
42,0,11.9,63692,669,12.4,1587,26560,1,1,0,1,5,44100,9.69,0.417,0.692,0.231
42,0,4.4,29318,730,22.4,8642,12013,0,0,0,0,3,3100,15.54,0.41,0.106,0.035
47,0,2.7,83074,601,7.8,18906,14391,0,1,0,1,3,40600,12.66,0.173,0.489,0.163
18,0,0.0,20596,646,0.4,227,4778,0,0,0,2,4,30800,14.89,0.232,1.495,0.498
29,0,0.7,35652,598,7.7,1521,14372,0,1,0,2,4,44000,16.54,0.403,1.234,0.411
